PAGO_ID|PAGO_FECHA|PAGO_MONTO|PAGO_ESTADO|CLIENTE_ID|CLIENTE_NOMBRE|CLIENTE_EMAIL|CLIENTE_TELEFONO|CLIENTE_DIRECCION|FACTURA_ID|FACTURA_MONTO_TOTAL|FACTURA_FECHA_EMISION|FACTURA_FECHA_VENCIMIENTO|FACTURA_DESCRIPCION|FACTURA_ESTADO|METODO_PAGO_ID|METODO_PAGO_NOMBRE|METODO_PAGO_DETALLES|METODO_PAGO_COMISION
1|2024-01-01|1200.50|Procesado|1|Juan Pérez|juan.perez@email.com|5512345678|Calle 123|101|1200.50|2024-01-01|2024-01-31|Servicio de Internet|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
2|2024-01-02|850.00|Pendiente|2|Maria López|maria.lopez@email.com|5512349876|Calle 456|102|850.00|2024-01-05|2024-01-31|Servicio de TV|Pagada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
3|2024-01-03|950.75|Rechazado|3|Carlos García|carlos.garcia@email.com|5511112233|Calle 789|103|950.75|2024-01-10|2024-02-10|Servicio de Telefonía|Cancelada|3|PayPal|Pago a través de la plataforma PayPal|3.00
4|2024-01-04|450.00|Procesado|4|Laura Martínez|laura.martinez@email.com|5512123456|Calle 321|104|1200.50|2024-01-15|2024-02-15|Servicio de Hosting|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
5|2024-01-05|1000.00|Procesado|5|Pedro Sánchez|pedro.sanchez@email.com|5519998765|Calle 654|105|1000.00|2024-01-20|2024-02-20|Servicio de Consultoría|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
6|2024-01-06|720.25|Pendiente|6|Ana Gómez|ana.gomez@email.com|5515432109|Calle 987|106|720.25|2024-01-25|2024-02-25|Servicio de Mantenimiento|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
7|2024-01-07|500.00|Procesado|7|Luis Torres|luis.torres@email.com|5516789012|Calle 741|107|500.00|2024-01-30|2024-02-28|Suscripción mensual|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
8|2024-01-08|300.00|Rechazado|8|Carla Ruiz|carla.ruiz@email.com|5518765432|Calle 852|108|300.00|2024-02-01|2024-03-01|Suscripción anual|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
9|2024-01-09|150.00|Procesado|9|Eduardo Flores|eduardo.flores@email.com|5519876543|Calle 963|109|150.00|2024-02-05|2024-03-05|Servicio de limpieza|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
10|2024-01-10|200.00|Pendiente|10|Gabriela Morales|gabriela.morales@email.com|5517654321|Calle 159|110|200.00|2024-02-10|2024-03-10|Servicio técnico|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
11|2024-01-11|800.50|Procesado|11|Roberto Díaz|roberto.diaz@email.com|5514567890|Calle 753|111|800.50|2024-02-15|2024-03-15|Servicio de Consultoría|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
12|2024-01-12|500.75|Pendiente|12|Isabel García|isabel.garcia@email.com|5516549873|Calle 321|112|500.75|2024-02-20|2024-03-20|Servicio de Marketing|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
13|2024-01-13|400.00|Procesado|13|Manuel Ortega|manuel.ortega@email.com|5513456789|Calle 987|113|400.00|2024-02-25|2024-03-25|Servicio de Diseño|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
14|2024-01-14|250.00|Rechazado|14|Teresa Mendoza|teresa.mendoza@email.com|5516785432|Calle 741|114|250.00|2024-03-01|2024-04-01|Servicio de Capacitación|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
15|2024-01-15|650.50|Procesado|15|Carlos Núñez|carlos.nunez@email.com|5519876543|Calle 753|115|650.50|2024-03-05|2024-04-05|Servicio de Soporte|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
16|2024-01-16|750.00|Pendiente|16|Sofía Méndez|sofia.mendez@email.com|5518765432|Calle 258|116|750.00|2024-03-10|2024-04-10|Servicio de Publicidad|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
17|2024-01-17|1000.00|Procesado|17|Diego López|diego.lopez@email.com|5517654321|Calle 357|117|1000.00|2024-03-15|2024-04-15|Servicio de Consultoría|Pagada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
18|2024-01-18|600.00|Rechazado|18|Lucía Hernández|lucia.hernandez@email.com|5515432109|Calle 147|118|600.00|2024-03-20|2024-04-20|Servicio de Desarrollo|Cancelada|3|PayPal|Pago a través de la plataforma PayPal|3.00
19|2024-01-19|450.00|Procesado|19|Mario Vega|mario.vega@email.com|5512345678|Calle 852|119|450.00|2024-03-25|2024-04-25|Servicio de Diseño Gráfico|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
20|2024-01-20|350.00|Pendiente|20|Ana Ríos|ana.rios@email.com|5519876543|Calle 963|120|350.00|2024-03-30|2024-04-30|Servicio de Análisis de Datos|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
